username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
gitta.athalia,9294.0,2021-05-19,Ceriakan harimu dengan download UKI sekarang!!! #uki #ukiapp #fyp #fypシ #foryou #foryoupage #funny #viral #funnyvideos,6964010080815615234,https://www.tiktok.com/@gitta.athalia/video/6964010080815615234?lang=en,101600.0,2.0,91.0,0.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'foryou', 'foryoupage', 'funny', 'viral', 'funnyvideos']"
callualittle,175.0,2021-05-20,yuk buruan download UKI sekarang aku tunggu di UKI ya☺️💙 #Uki #Ukiapp  #fyp #foryoupage #samasamabelajar #merdekabelajar #tiktokbonusid,6964160352548310273,https://www.tiktok.com/@callualittle/video/6964160352548310273?lang=en,262.0,0.0,16.0,0.0,"['uki', 'ukiapp', 'fyp', 'foryoupage', 'samasamabelajar', 'merdekabelajar', 'tiktokbonusid']"
hama_youminzhe,5100.0,2021-05-20,"Hi, yang suka jailin, yuk gabung di UKI sekarang juga. Download UKI app, kita bersenang ria :) #uki #ukiapp #fyp #fypシ",6964172794422775042,https://www.tiktok.com/@hama_youminzhe/video/6964172794422775042?lang=en,1148.0,2.0,34.0,29.0,"['uki', 'ukiapp', 'fyp', 'fypシ']"
farah.anhar,7200.0,2021-05-20,Yuk download Uki app sekarang juga! #uki #ukiapp #fyp,6964190511653555457,https://www.tiktok.com/@farah.anhar/video/6964190511653555457?lang=en,110600.0,0.0,698.0,5.0,"['uki', 'ukiapp', 'fyp']"
,,,,,,,,,,
haiakuzahra0,3.0,2021-05-20,Ayo download Uki sekarangg😍 #uki #ukiapp #eumg #eumanagement,6964195282204626177,https://www.tiktok.com/@haiakuzahra0/video/6964195282204626177?lang=en,699.0,1.0,3.0,0.0,"['uki', 'ukiapp', 'eumg', 'eumanagement']"
lsyahida,523.0,2021-05-20,"Segera download UKI app ya, kita ketemu disana! #uki #ukiapp #fyp #foryoupage",6964203338795584770,https://www.tiktok.com/@lsyahida/video/6964203338795584770?lang=en,137.0,0.0,3.0,0.0,"['uki', 'ukiapp', 'fyp', 'foryoupage']"
,,,,,,,,,,
daniapuspatiara,3641.0,2021-05-20,"biar ngobrol jelas, yuk donlot uki app #uki #ukiapp #fypシ #capcut #capcutindonesia #parodi #couple",6964205248349097218,https://www.tiktok.com/@daniapuspatiara/video/6964205248349097218?lang=en,998.0,0.0,18.0,0.0,"['uki', 'ukiapp', 'fypシ', 'capcut', 'capcutindonesia', 'parodi', 'couple']"
ntthaliax,825.0,2021-05-20,Mau dibuat bahagia? mending download uki sekarang!!🤤 #uki #ukiapp #fyp #foryoupage #fypシ,6964204827681246465,https://www.tiktok.com/@ntthaliax/video/6964204827681246465?lang=en,2048.0,0.0,4.0,0.0,"['uki', 'ukiapp', 'fyp', 'foryoupage', 'fypシ']"
