username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
pittyeex,677.0,2021-05-20,Dapatkan teman yang asik dan download aplikasi ”UKI” sekarang juga🤩🥰 #Uki #Ukiapp,6964387132089650434,https://www.tiktok.com/@pittyeex/video/6964387132089650434?lang=en,2075.0,2.0,5.0,1.0,"['uki', 'ukiapp']"
,,,,,,,,,,
lioniaprilya17,2478.0,2021-05-20,guyyss download app #uki  yahh🤗😂dijamin seru #uki #ukiapp,6964407612943125762,https://www.tiktok.com/@lioniaprilya17/video/6964407612943125762?lang=en,15.0,0.0,3.0,0.0,"['uki', 'ukiapp']"
ifaichy,27100.0,2021-05-21,cewe kerjaan nya mmg cari penyakit yah😂 • follow ig : ifaichy #Uki #Ukiapp #fyp,6964504362714451201,https://www.tiktok.com/@ifaichy/video/6964504362714451201?lang=en,1429.0,3.0,133.0,5.0,"['uki', 'ukiapp', 'fyp']"
canboyx,195.0,2021-05-21,waktu nya tes do'i check 😜 Ayo ceriakan hari mu dengan download aplikasi UKI😊 #Uki #Ukiapp,6964538932193217793,https://www.tiktok.com/@canboyx/video/6964538932193217793?lang=en,3215.0,0.0,88.0,1.0,"['uki', 'ukiapp']"
,,,,,,,,,,
git_brigitt,34.0,2021-05-21,"Dasar gak konsentrasi yaa😂, oh ya guys ceriakan hari mu dengan Download Uki Sekarang #Uki #Ukiapp",6964573101078154498,https://www.tiktok.com/@git_brigitt/video/6964573101078154498?lang=en,1020.0,10.0,4.0,0.0,"['uki', 'ukiapp']"
,,,,,,,,,,
