username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag,statusCode
laurenkuin,10700.0,2021-06-10,"Subtle flirting here guys, check it out! Download UKI App now & find your mate 🤗 https://uki.booyah.cc/mobile/ #uki #ukiapp",6972076785840246021,https://www.tiktok.com/@laurenkuin/video/6972076785840246021?lang=en,102300.0,12.0,915.0,16.0,"['uki', 'ukiapp']",
deborahsyella,661.0,2021-06-10,Nih tips lagi buat kaliann 🤫 langsung kepoin dan langsung download UKI ya https://uki.booyah.cc/mobile/ #uki #ukiapp,6972016236783799553,https://www.tiktok.com/@deborahsyella/video/6972016236783799553?lang=en,1389.0,16.0,104.0,19.0,"['uki', 'ukiapp']",
dinantinanda,3390.0,2021-06-10,"Kalian tau bagaimana cara buat pasangan kalian tergoda? Ini caranya, ayo download UKI sekarang juga https://uki.booyah.cc/mobile/ #uki #ukiapp",6972171953629056258,https://www.tiktok.com/@dinantinanda/video/6972171953629056258?lang=en,1234.0,2.0,7.0,2.0,"['uki', 'ukiapp']",
adarasa.com,487.0,2021-06-11,download UKI and find your answers there ✨ https://uki.booyah.cc/mobile/ #uki #ukiapp,6972325575482477825,https://www.tiktok.com/@adarasa.com/video/6972325575482477825?lang=en,234.0,10.0,11.0,0.0,"['uki', 'ukiapp']",
wirafitamaatmaj,3356.0,2021-06-10,Yok.. download UKI sekarang!https://uki.booyah.cc/mobile/#uki #ukiapp #fyp #foryoupage #kreatortiktok,6972146615029140738,https://www.tiktok.com/@wirafitamaatmaj/video/6972146615029140738?lang=en,182700.0,17.0,1165.0,16.0,"['uki', 'ukiapp', 'fyp', 'foryoupage', 'kreatortiktok']",
yaniinach,2368.0,2021-06-10,cari orang yang kamu sukai di uki... https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #tips #relationship #fypシ,6972130961635036418,https://www.tiktok.com/@yaniinach/video/6972130961635036418?lang=en,911.0,6.0,10.0,8.0,"['uki', 'ukiapp', 'fyp', 'tips', 'relationship', 'fypシ']",
memelahap,93200.0,2021-06-10,Tips Berbicara kepada Orang Yang anda Sukai. Ingin Tips Lain dari Aku? download Uki Dan Temui Aku Disana #uki #ukiapp https://uki.booyah.cc/mobile/,6972088998701387009,https://www.tiktok.com/@memelahap/video/6972088998701387009?lang=en,100000.0,3.0,585.0,0.0,"['uki', 'ukiapp']",
sindukinanti93,27.0,2021-06-11,download buruan https://uki.booyah.cc/mobile/ #uki #ukiapp,6972221294494420225,https://www.tiktok.com/@sindukinanti93/video/6972221294494420225?lang=en,247.0,3.0,9.0,9.0,"['uki', 'ukiapp']",
watirahma021_,151.0,2021-06-11,"Tips berbicara yg bagus, ayok download uki https://uki.booyah.cc/mobile/#uki #ukiapp",6972217818225904897,https://www.tiktok.com/@watirahma021_/video/6972217818225904897?lang=en,259.0,0.0,4.0,0.0,"['uki', 'ukiapp']",
kepodehh29,45.0,2021-06-10,Cara berbicara pada gebetan! Unduh UKI https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp #fypgakni,6972183319156903169,https://www.tiktok.com/@kepodehh29/video/6972183319156903169?lang=en,223.0,0.0,2.0,0.0,"['uki', 'ukiapp', 'fyp', 'fypgakni']",
mputrimeput,1759.0,2021-06-10,Download UKI sekarang! https://uki.booyah.cc/mobile/ #uki #ukiapp,6972093716081184001,https://www.tiktok.com/@mputrimeput/video/6972093716081184001?lang=en,1026.0,5.0,15.0,1.0,"['uki', 'ukiapp']",
tiusicaagnes,489.0,2021-06-10,download app UKI and we meet again https://uki.booyah.cc/mobile/ #uki #ukiapp,6972072231086099714,https://www.tiktok.com/@tiusicaagnes/video/6972072231086099714?lang=en,1218.0,196.0,666.0,45.0,"['uki', 'ukiapp']",
freaklines27,23300.0,2021-06-10,Try this flirting tips to get a better impression. Download Uki to find your partner https://uki.booyah.cc/mobile/ #uki #ukiapp,6972145718538620161,https://www.tiktok.com/@freaklines27/video/6972145718538620161?lang=en,101100.0,216.0,1137.0,67.0,"['uki', 'ukiapp']",
dindale7,239.0,2021-06-10,Saatnya bagi-bagi tips 🤭 jangan lupa download UKI juga ya https://uki.booyah.cc/mobile/ #uki #ukiapp,6972194578094902530,https://www.tiktok.com/@dindale7/video/6972194578094902530?lang=en,1012.0,0.0,2.0,0.0,"['uki', 'ukiapp']",
yudiharians1,16800.0,2021-06-11,"yuk ikuti tips berikut, mudah mudahan bermanfaat, dan jangan lupa download UKI ya https://uki.booyah.cc/mobile/ #uki #ukiapp",6972239210774334722,https://www.tiktok.com/@yudiharians1/video/6972239210774334722?lang=en,112800.0,103.0,652.0,50.0,"['uki', 'ukiapp']",
yurayurari10,440.0,2021-06-10,Tips flirting! Cari pasangannya di mana? Jelas di #Uki #Ukiapp dong! Yuk download skrg! https://uki.booyah.cc/mobile/,6972209388236901634,https://www.tiktok.com/@yurayurari10/video/6972209388236901634?lang=en,623.0,119.0,127.0,56.0,"['uki', 'ukiapp']",
kennie92,42200.0,2021-06-10,tips menggoda halus download UKI sekarang juga dan temukan pacar anda🥰 hhtps://uki.booyah.cc/mobile/ #uki #ukiapp,6972175885688442114,https://www.tiktok.com/@kennie92/video/6972175885688442114?lang=en,100800.0,12.0,108.0,13.0,"['uki', 'ukiapp']",
