username,followers,createTime,videoDesc,videoID,videoLink,nViews,nShare,nLikes,nComment,hashtag
egoofriansyah,2052.0,2021-05-19,KEBIASAAN!!!#uki #ukiapp #fyp,6964010197798898946,https://www.tiktok.com/@egoofriansyah/video/6964010197798898946?lang=en,1111.0,2.0,11.0,4.0,"['uki', 'ukiapp', 'fyp']"
olla818,2134.0,2021-05-20,cewek mah gitu kadang kalo putus pasti nangis #uki #ukiapp #fypシ゚viral🖤video #fypindonesiaシ #fypberanda,6964294951546932482,https://www.tiktok.com/@olla818/video/6964294951546932482?lang=en,4356.0,2.0,14.0,8.0,"['uki', 'ukiapp', 'fypシ゚viral🖤video', 'fypindonesiaシ', 'fypberanda']"
silviana2.8,12100.0,2021-05-20,Ni part 2nya 😌😭😭 #uki #ukiapp #fyp #fypシ #fypsounds #fypシ゚viral #fypdong,6964300811060907265,https://www.tiktok.com/@silviana2.8/video/6964300811060907265?lang=en,10100.0,3.0,16.0,6.0,"['uki', 'ukiapp', 'fyp', 'fypシ', 'fypsounds', 'fypシ゚viral', 'fypdong']"
hzlwa,1247.0,2021-05-20,cepat download aplikasi uki sampai jumpa di uki yaa #uki #ukiapp,6964302765807963394,https://www.tiktok.com/@hzlwa/video/6964302765807963394?lang=en,115.0,0.0,7.0,0.0,"['uki', 'ukiapp']"
vhivieceria,2614.0,2021-05-20,Ditinggal Nikah 🥺😩 #uki #ukiapp  #foryoupage #fypシ #ukiappdownload #ukiaplikasi,6964334384673557761,https://www.tiktok.com/@vhivieceria/video/6964334384673557761?lang=en,2322.0,23.0,136.0,47.0,"['uki', 'ukiapp', 'foryoupage', 'fypシ', 'ukiappdownload', 'ukiaplikasi']"
retayuu,1294.0,2021-05-20,punya temen jahat kali 😭 #uki #ukiapp #fyp #masukberanda,6964340812633099521,https://www.tiktok.com/@retayuu/video/6964340812633099521?lang=en,1143.0,2.0,5.0,2.0,"['uki', 'ukiapp', 'fyp', 'masukberanda']"
,,,,,,,,,,
meowgaming_,4849.0,2021-05-20,SUDAHI GALAU MU MARI DOWNLOAD UKI BERSAMAKU#uki #ukiapp,6964351230474751234,https://www.tiktok.com/@meowgaming_/video/6964351230474751234?lang=en,100400.0,1.0,518.0,10.0,"['uki', 'ukiapp']"
apriliana_5,203.0,2021-05-20,"putus cinta,ga boleh galau lagi kan ada uki #uki #ukiapp #ukiappdownload #ayo #download",6964354712061611265,https://www.tiktok.com/@apriliana_5/video/6964354712061611265?lang=en,106300.0,4.0,215.0,5.0,"['uki', 'ukiapp', 'ukiappdownload', 'ayo', 'download']"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
fellafaronaa,99800.0,2021-05-20,Tunggu apa lagi? yuk download aplikasi UKI sekarang juga! ada di play store atau link di bio :) #uki #ukiapp,6964374265374264578,https://www.tiktok.com/@fellafaronaa/video/6964374265374264578?lang=en,100300.0,0.0,408.0,10.0,"['uki', 'ukiapp']"
itshrdsmtmhh,5018.0,2021-05-20,"Baru putus cinta, Tau2 dapat kabar teman punya pacar. Kan jadi kepoo #Uki #Ukiapp #fypdong",6964385400303422722,https://www.tiktok.com/@itshrdsmtmhh/video/6964385400303422722?lang=en,2063.0,1.0,2.0,0.0,"['uki', 'ukiapp', 'fypdong']"
