username,followers,link video,desc,views,remark
Najiyahshbryh,1366,https://vt.tiktok.com/ZSJ9YkQac/,Masa iya gamau download🤪 yuk temukan aku disana!!,419,
Richifenus,357,https://vt.tiktok.com/ZSJ92nnTX/,AYO BURUAN NIH DOWNLOAD #UKI #UKIAPP https://uki.booyah.cc/mobile/,1136,
Oreodoyan,389,https://vt.tiktok.com/ZSJ9MSCBx/,Yuk download aplikasi #UKI Sekarang dan temukan aku disana #UKIAPP https://uki.booyah.cc/mobile/,515,
Itsnaulqi,233,https://vt.tiktok.com/ZSJ9MyTDd/,Ayo download UKI,557,
apasikenapasayang,185,https://vt.tiktok.com/ZSJ9MKt6b/,GAS DOWNLOAD UKI SKARANG!!,515,
@hanarizkyanaputri,1984,https://vt.tiktok.com/ZSJHgXDn9/,Tips aman dari aku nih biar aman download apk uki yukk,296,
Dimasandi.14,792,https://vt.tiktok.com/ZSJHpHyDW/,Download uki sekarang juga https://uki.booyah.cc/mobile/,251,
xwxaxlx ,14200,https://vt.tiktok.com/ZSJHb8NQV/,jangan lupa download uki:https://uki.booyah.cc/mobile/ #UKI #UKIAPP ,61,
Davius_,2591,https://vt.tiktok.com/ZSJHKekmm/,Yuk buruan download aplikasi Uki dan temukan banyak teman baru disana! https://uki.booyah.cc/mobile/ #UKI #UKIAPP ,236,
Najiyahshbryh,1367,https://vt.tiktok.com/ZSJHKDg1B/,Yuk download aplikasi UKI yuk,444,
Syoniaanggraina.10,162,https://vt.tiktok.com/ZSJHKaL9s/,Bagaimana kencanmu sama pasangan online mu di UKI? Yuk download UKI https://uki.booyah.cc/mobile/,288,
Cibiiiiii,156,https://vt.tiktok.com/ZSJHKs83q/,Pengen dapet temen kencan? Buruan downlod uki di link ini https://uki.booyah.cc/mobile/,212,
Cindiafiraaa,230,https://vt.tiktok.com/ZSJHKs1NY/,"Download UKI sekarang, dan temukan teman disekitarmu! 😉 #UKI#UKIAPP https://uki.booyah.cc/mobile/",241,
@wanitabutuhkasihsayang,2823,https://vt.tiktok.com/ZSJHKphdE/,Daripada pusing mikirin gebetan baru mending download UKI sekarang yuk😊,254,
Widya_iyaa,122,https://vt.tiktok.com/ZSJHK7cnq/,penasaran sama aku yok download apk UKI app store kalian atau bisa di https://uki.booyah.cc/mobile/ #UKI #UKIAPP,239,
@miqordi,142,https://vt.tiktok.com/ZSJHKVHqh/,"Buruan download App UKI yuk, makin seru nih https://uki.booyah.cc/mobile/ #UKI #UKIAPP",449,
@ivan_avreza,7624,https://vt.tiktok.com/ZSJHK7vF9/,"Yuk download Uki, temukan banyak teman baru disana ! https://uki.booyah.cc/mobile/",421,
xxrgakim__,835:09:00,https://vt.tiktok.com/ZSJHKwvCV/,"Chat sm aku yuk, download UKI sekarang~","111,100",
nabeee_la,96,https://vt.tiktok.com/ZSJHE29Af/,"Download aja dulu aplikasi uki, barangkali ketemu jodoh yakan 😄klik link : https://uki.booyah.cc/mobile/ #uki #ukiapp",226,
Wahyusaputra_22,4629,https://t.tiktok.com/i18n/share/video/6970304790618328322/?region=ID&mid=6769046027488987137&u_code=dbkj8k9lb559ml&preview_pb=0&language=id&_d=dhkcel88b461j5&share_item_id=6970304790618328322&source=h5_t&timestamp=1622901375&user_id=6813392882063082498&sec_user_id=MS4wLjABAAAA9omDADxgh0hYz4TjoJDnAOWZgecq7hBWGU3un5JidpbM7d0sk4wa77503Mg_mewr&utm_source=copy&utm_campaign=client_share&utm_medium=android&share_iid=6969414271339890434&share_link_id=4e5a6e65-c7e9-48af-9889-4eb2efd50d3c&share_app_id=1180,#uki #ukiapp mari bertemu jodohmu download UKI https://uki.booyah.cc/mobile/#NyanyiWithPinkSweats,356,
rianrifan1,85700,https://vt.tiktok.com/ZSJHEeBaU/,"hati hati bermain peluit ya guys 😭, vidio by @brokenvideos07 download UKI https://uki.booyah.cc/mobile/ #fyp #UKI #UKIAPP",2714,
Esterzebua_05,3774,https://vt.tiktok.com/ZSJHE249B/,"#uki #ukiapp yok temukan pasanganmu , ayok download UKI https://uki.booyah.cc/mobile/#NyanyiWithPinkSweats",380,
mrth.bnd,153,https://vt.tiktok.com/ZSJHEGh45/,yuk download aplikasi UKI sekarang juga! 🙌 https://uki.booyah.cc/mobile/ #UKI #UKIAPP,1184,
Richifenus,256,https://vt.tiktok.com/ZSJHEqDeR/,AYO BURUAN DEH DOWNLOAD SEKARANG #UKI #UKIAPP https://uki.booyah.cc/mobile/,"10,200",
@alfunoona,98,https://vt.tiktok.com/ZSJHE9K33/,Mau cari pasangan? yuk download Apk UKI di AppStore atau PlayStore https://uki.booyah.cc/mobile/ #UKI #UKIAPP #arigato #fyp,409,
Vanvaniaa,570,https://vt.tiktok.com/ZSJHoAJuL/,Yuk download aplikasi UKI : https://uki.booyah.cc/mobile/ #uki #ukiapp #NyanyiWithPinkSweats #fyp #AtomeKittens ,349,
leo_sajo,63233,https://vt.tiktok.com/ZSJHotQmo/,ayok download UKI dan temukan pasanganmu disana https://uki.booyah.cc/mobile/,304,
billecute,8004,https://vt.tiktok.com/ZSJHom8d7/,jangan lupa download aplikasi UKI biar bisa temenan sama aku hihi!! https://uki.booyah.cc/mobile/ #uki #ukiapp #fyp,55,
jereacholagi,2,https://vt.tiktok.com/ZSJHoX87k/,cari teman baru yuk di Uki App! https://uki.booyah.cc/mobile/ #Uki #UkiApp ,214,
Oreodoyan,386,https://vt.tiktok.com/ZSJHRR4bJ/,Yuk temukan banyak teman baru di #UKI seru seruan disana asik banget #UKIAPP https://uki.booyah.cc/mobile/,809,
juwandasinaga,187,https://vt.tiktok.com/ZSJHovLLQ/,"Wow pastinya mau dong dapat keluarga baru, yuk download UKI",214,
Itsnaulqi,234,https://vt.tiktok.com/ZSJ91HoM5/,Ayo download aplikasi UKI sekarang! https://uki.booyah.cc/mobile/ #UKI #UKIAPP,606,
@ulnique,110,https://vt.tiktok.com/ZSJ91Ng5P/,"Jangan lupa download Aplikasi UKI,Temukan banyak teman disana,bisa jd jodoh kamu loh 😍 LINK DOWNLOAD ⬇️ https://uki.booyah.cc/mobile/ #UKI #UKIAPP",218,
@nadayolan10,1287,https://vt.tiktok.com/ZSJHVKXR6/,Yuk download app nya UKI temukan kan aku & jodoh mu di sanaa 😗 Link https://uki.booyah.cc/mobile/ #Uki #ukiapp #fyp,251,
